title,year,department,award,film,img_link,film_link
Awards,2015,Special Prizes,"Best Original Music Award for a Short Film, sponsored by the SACEM",Dissonance,https://www.annecy.org/resources/images/m/20150488.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20150488
Awards,2015,Special Prizes,"""Gan Foundation Support for Distribution"" for a Work in Progress",Ma vie de courgette,https://www.annecy.org/resources/images/m/20158205.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20158205
Awards,2015,Special Prizes,André-Martin Award – Distinction for a French Short Film,Yùl et le Serpent,https://www.annecy.org/resources/images/m/20152266.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20152266
Awards,2015,Special Prizes,André-Martin Award for a French Short Film,Rhizome,https://www.annecy.org/resources/images/m/20152373.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20152373
Awards,2015,Special Prizes,André-Martin Award for a French Feature Film,Is The Man Who Is Tall Happy?: An Animated Conversation with Noam Chomsky,https://www.annecy.org/resources/images/m/20132473.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20132473
Awards,2015,Special Prizes,Fipresci Award – Special Distinction,Guida,https://www.annecy.org/resources/images/m/20150482.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20150482
Awards,2015,Special Prizes,Fipresci Award,Teeth,https://www.annecy.org/resources/images/m/20150652.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20150652
Awards,2015,Special Prizes,Junior Jury Award for a Short Film ,Mi ne mozhem zhit bez kosmosa,https://www.annecy.org/resources/images/m/20150668.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20150668
Awards,2015,Special Prizes,Junior Jury Award for a Graduation Film,Roadtrip,https://www.annecy.org/resources/images/m/20151261.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20151261
Awards,2015,Special Prizes,Festivals Connexion Award – Région Rhône-Alpes with Lumières Numériques,Dans les eaux profondes,https://www.annecy.org/resources/images/m/20150555.jpg,https://www.annecy.org/about/archives/2015/award-winners/film-index:film-20150555
Awards,2014,Feature films,Cristal for a Feature Film,O menino e o mundo,https://www.annecy.org/resources/images/m/20140313.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140313
Awards,2014,Feature films,Jury Award,Cheatin',https://www.annecy.org/resources/images/m/20142260.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20142260
Awards,2014,Feature films,Jury Distinction,Giovanni no Shima,https://www.annecy.org/resources/images/m/20142244.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20142244
Awards,2014,Feature films,Audience Award,O menino e o mundo,https://www.annecy.org/resources/images/m/20140313.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140313
Awards,2014,Short films,Cristal for a Short Film,Man on the Chair,https://www.annecy.org/resources/images/m/20141624.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20141624
Awards,2014,Short films,Jury Award,Patch,https://www.annecy.org/resources/images/m/20140863.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140863
Awards,2014,Short films,"""Jean-Luc Xiberras"" Award for a First Film",Hasta Santiago,https://www.annecy.org/resources/images/m/20140592.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140592
Awards,2014,Short films,Jury Distinction,Histoires de bus,https://www.annecy.org/resources/images/m/20142208.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20142208
Awards,2014,Short films,Jury Distinction,La testa tra le nuvole,https://www.annecy.org/resources/images/m/20140524.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140524
Awards,2014,Short films,Audience Award,La Petite Casserole d'Anatole,https://www.annecy.org/resources/images/m/20141048.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20141048
Awards,2014,Short films,"""Off-Limits"" Award",Corps étrangers,https://www.annecy.org/resources/images/m/20140105.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140105
Awards,2014,TV and commissioned films,Cristal for a TV Production,"En sortant de l'école ""Tant de forêts""",https://www.annecy.org/resources/images/m/20142183.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20142183
Awards,2014,TV and commissioned films,Cristal for a Commissioned Film,"Nepia ""Tissue Animals""",https://www.annecy.org/resources/images/m/20142143.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20142143
Awards,2014,TV and commissioned films,Jury Award for a TV Series,"Tumble Leaf ""Kite""",https://www.annecy.org/resources/images/m/20142125.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20142125
Awards,2014,TV and commissioned films,Jury Award for a TV Special,Le Parfum de la carotte,https://www.annecy.org/resources/images/m/20140302.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140302
Awards,2014,TV and commissioned films,Jury Award,"Peau ""Instant T""",https://www.annecy.org/resources/images/m/20141896.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20141896
Awards,2014,Graduation films,Cristal for a Graduation Film,The Bigger Picture,https://www.annecy.org/resources/images/m/20141872.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20141872
Awards,2014,Graduation films,Jury Award,An Adventurous Afternoon,https://www.annecy.org/resources/images/m/20140059.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140059
Awards,2014,Graduation films,Jury Distinction,The Age of Curious,https://www.annecy.org/resources/images/m/20140760.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140760
Awards,2014,Special Prizes,Festivals Connexion Award – Région Rhône-Alpes with Lumières Numériques,Through the Hawthorn,https://www.annecy.org/resources/images/m/20140719.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140719
Awards,2014,Special Prizes,Junior Jury Award for a Graduation Film,Interview,https://www.annecy.org/resources/images/m/20142070.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20142070
Awards,2014,Special Prizes,Junior Jury Award for a Short Film,Histoires de bus,https://www.annecy.org/resources/images/m/20142208.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20142208
Awards,2014,Special Prizes,Fipresci Award,Nul poisson où aller,https://www.annecy.org/resources/images/m/20141009.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20141009
Awards,2014,Special Prizes,"""Gan Foundation Aid for Distribution"" for a Work in Progress Award",Adama,https://www.annecy.org/resources/images/m/20148004.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20148004
Awards,2014,Special Prizes,Sacem Award for Original Music,Hasta Santiago,https://www.annecy.org/resources/images/m/20140592.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140592
Awards,2014,Special Prizes,"""CANAL+ Creative Aid"" Award for a Short Film",Wonder,https://www.annecy.org/resources/images/m/20140805.jpg,https://www.annecy.org/about/archives/2014/award-winners/film-index:film-20140805
Awards,2013,Feature films,The Cristal for best feature,Uma história de amor e fúria,https://www.annecy.org/resources/images/m/20131304.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20131304
Awards,2013,Feature films,Special Distinction,"Ma maman est en Amérique, elle a rencontré Buffalo Bill",https://www.annecy.org/resources/images/m/20131023.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20131023
Awards,2013,Feature films,Audience Award,O Apóstolo,https://www.annecy.org/resources/images/m/20132447.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20132447
Awards,2013,Short films,The Cristal for best short,Subconscious Password,https://www.annecy.org/resources/images/m/20132181.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20132181
Awards,2013,Short films,Special Jury Award,Obida,https://www.annecy.org/resources/images/m/20130532.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20130532
Awards,2013,Short films,Distinction for a first film,Trespass,https://www.annecy.org/resources/images/m/20130809.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20130809
Awards,2013,Short films,"""Jean-Luc Xiberras"" Award for a first film",Norman,https://www.annecy.org/resources/images/m/20132263.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20132263
Awards,2013,Short films,Special Distinction,Kolmnurga-afäär,https://www.annecy.org/resources/images/m/20131060.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20131060
Awards,2013,Short films,Sacem Award for original music,Lonely Bones,https://www.annecy.org/resources/images/m/20130626.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20130626
Awards,2013,Short films,Junior Jury Award for a short film,Feral,https://www.annecy.org/resources/images/m/20130091.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20130091
Awards,2013,Short films,Audience Award,Lettres de femmes,https://www.annecy.org/resources/images/m/20131508.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20131508
Awards,2013,TV and commissioned films,The Cristal for best TV production,Room on the Broom,https://www.annecy.org/resources/images/m/20131132.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20131132
Awards,2013,TV and commissioned films,The Cristal for best commissioned film,Dumb Ways to Die,https://www.annecy.org/resources/images/m/20131918.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20131918
Awards,2013,TV and commissioned films,Special Award for a TV series,Tom & The Queen Bee,https://www.annecy.org/resources/images/m/20130860.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20130860
Awards,2013,TV and commissioned films,Award for best TV special,L'Automne de Pougne,https://www.annecy.org/resources/images/m/20131796.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20131796
Awards,2013,TV and commissioned films,Special Jury Award,"Benjamin Scheuer ""The Lion""",https://www.annecy.org/resources/images/m/20131910.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20131910
Awards,2013,Graduation films,Award for best graduation film,Ab ovo,https://www.annecy.org/resources/images/m/20130329.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20130329
Awards,2013,Graduation films,Special Jury Award,I Am Tom Moody,https://www.annecy.org/resources/images/m/20130185.jpg,https://www.annecy.org/about/archives/2013/award-winners/film-index:film-20130185
